"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","전세","83.7000","202602","04","53,750","0","9","1983","개포로 516","202603~202803","갱신","-","53,750","16","아파트"
"2","서울특별시 강남구 역삼동","729-35","0729","0035","플래티늄1","월세","44.6100","202602","04","2,000","145","2","2003","언주로75길 24","202603~202803","신규","-","","","아파트"
"3","서울특별시 강남구 역삼동","729-35","0729","0035","플래티늄1","월세","44.6100","202602","04","2,000","145","5","2003","언주로75길 24","202603~202803","신규","-","","","아파트"
"4","서울특별시 강남구 역삼동","762-3","0762","0003","래미안그레이튼(진달래2차)","월세","59.9100","202602","04","15,000","380","21","2010","도곡로43길 21","202603~202803","갱신","-","20,000","295","아파트"
"5","서울특별시 강남구 청담동","134","0134","0000","래미안청담로이뷰","전세","110.2000","202602","04","160,000","0","13","1992","영동대로142길 16","202602~202802","갱신","사용","155,000","0","아파트"
"6","서울특별시 강남구 역삼동","795-41","0795","0041","역삼동월드메르디앙","전세","103.0700","202602","04","90,000","0","9","2005","도곡로21길 15","202602~202802","갱신","-","80,000","0","아파트"
"7","서울특별시 강남구 역삼동","824-25","0824","0025","대우디오빌플러스","전세","43.9900","202602","04","36,000","0","2","2004","강남대로84길 33","202603~202803","신규","-","","","아파트"
"8","서울특별시 강남구 삼성동","50","0050","0000","현대힐스테이트2단지","월세","84.2360","202602","04","95,000","13","1","2008","삼성로111길 8","202607~202807","갱신","사용","95,000","0","아파트"
"9","서울특별시 강남구 역삼동","606-18","0606","0018","현대휴먼터치빌","전세","25.9200","202602","04","20,000","0","8","1999","논현로 565","202602~202802","신규","-","","","아파트"
"10","서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","월세","59.9900","202602","04","86,530","190","21","2021","삼성로 651","202603~202803","갱신","-","80,000","190","아파트"
