"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","47.1070","202601","31","44,500","3","개인","개인","2003","삼성로85길 42","-","중개거래","서울 강남구"
"2","서울특별시 강남구 대치동","889-5","0889","0005","샹제리제센터","35.7000","202601","29","29,800","5","개인","개인","1990","테헤란로 406","-","중개거래","서울 강남구"
"3","서울특별시 강남구 대치동","889-5","0889","0005","샹제리제센터","26.7800","202601","29","23,000","17","개인","개인","1990","테헤란로 406","-","중개거래","서울 강남구"
"4","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202601","15","23,000","14","개인","개인","2004","테헤란로88길 10","-","직거래","-"
"5","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","22.3900","202601","12","36,500","9","개인","개인","2019","영동대로85길 20","-","중개거래","서울 강남구"
"6","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","22.1800","202601","09","39,500","11","개인","개인","2018","영동대로85길 34","-","직거래","-"
"7","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","22.1800","202601","07","38,500","11","법인","개인","2018","영동대로85길 34","-","중개거래","서울 강남구"
"8","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","18.4500","202601","06","26,000","9","개인","개인","2020","선릉로90길 66","-","중개거래","서울 강남구, 서울 송파구"
"9","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","32.7000","202601","05","22,000","14","개인","개인","2004","테헤란로64길 14","-","중개거래","서울 강남구"
"10","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","27.4500","202512","22","23,900","3","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"11","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","22.2400","202512","21","31,800","12","법인","개인","2019","영동대로85길 20","-","중개거래","서울 강남구"
"12","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","50.7300","202512","18","49,000","14","법인","개인","2004","선릉로86길 31","-","중개거래","서울 강남구"
"13","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202512","18","28,500","20","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"14","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","32.7000","202512","15","20,500","6","개인","개인","2004","테헤란로64길 14","-","중개거래","서울 강남구"
"15","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","35.2800","202512","15","21,000","6","개인","개인","2004","테헤란로64길 14","-","중개거래","서울 강남구"
"16","서울특별시 강남구 대치동","938","0938","0000","삼환 아르누보2","60.7300","202512","11","70,000","8","개인","개인","2004","도곡로 405","-","중개거래","서울 강남구"
"17","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","22.3900","202512","06","35,000","6","개인","개인","2019","영동대로85길 20","-","중개거래","서울 강남구"
"18","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202512","05","30,000","16","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"19","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","36.7100","202512","01","77,000","8","개인","개인","2022","역삼로 409","-","중개거래","서울 강남구"
"20","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","18.4500","202511","29","26,000","9","개인","개인","2020","선릉로90길 66","-","중개거래","서울 강남구, 서울 송파구"
"21","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","20.8000","202511","25","46,000","9","개인","개인","2015","남부순환로 2927","-","중개거래","서울 강남구"
"22","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","20.8000","202511","24","46,000","10","개인","개인","2015","남부순환로 2927","-","중개거래","서울 강남구"
"23","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","35.4260","202511","20","33,700","2","개인","법인","2003","삼성로85길 42","-","직거래","-"
"24","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202511","19","30,000","19","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"25","서울특별시 강남구 대치동","907-12","0907","0012","아티스톤","28.6000","202511","17","55,000","4","개인","개인","2022","역삼로 409","-","중개거래","서울 강남구, 서울 광진구"
"26","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","37.2500","202511","10","39,500","10","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"27","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌","33.0200","202511","10","20,000","5","법인","개인","2004","테헤란로64길 9","-","중개거래","서울 강남구"
"28","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","44.4600","202511","08","38,000","13","개인","개인","2004","선릉로86길 31","-","중개거래","서울 강남구"
"29","서울특별시 강남구 대치동","889-47","0889","0047","샹제리제센터","46.4200","202511","05","36,000","4","개인","개인","1990","선릉로90길 10","-","중개거래","서울 강남구"
"30","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","22.3900","202511","05","34,200","7","개인","개인","2019","영동대로85길 20","-","중개거래","서울 강남구"
"31","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","39.0000","202511","04","26,300","7","법인","기타","2004","선릉로86길 31","-","중개거래","서울 강남구"
"32","서울특별시 강남구 대치동","945-29","0945","0029","CO-OP Residence/삼성역","13.9600","202510","30","15,800","8","개인","개인","2004","테헤란로92길 13","-","중개거래","서울 강남구"
"33","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202510","29","25,700","12","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"34","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202510","29","26,000","8","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"35","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","50.7300","202510","26","47,000","11","개인","개인","2004","선릉로86길 31","-","중개거래","서울 강남구"
"36","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","37.2500","202510","24","45,500","19","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"37","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202510","24","30,000","16","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"38","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202510","22","27,500","4","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"39","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","39.0000","202510","17","27,000","13","개인","법인","2004","선릉로86길 31","-","직거래","-"
"40","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","22.3900","202510","02","33,000","5","법인","개인","2019","영동대로85길 20","-","중개거래","서울 강남구"
"41","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","27.4500","202509","17","25,200","9","법인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"42","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","32.7000","202509","15","22,000","15","개인","개인","2004","테헤란로64길 14","-","중개거래","서울 강남구"
"43","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","35.2800","202509","06","22,300","5","법인","개인","2004","테헤란로64길 14","-","중개거래","서울 강남구"
"44","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","33.8100","202509","05","20,500","15","개인","개인","2003","테헤란로64길 8","-","직거래","-"
"45","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","22.1800","202508","29","37,500","11","개인","개인","2018","영동대로85길 34","-","중개거래","서울 강남구"
"46","서울특별시 강남구 대치동","889-5","0889","0005","샹제리제센터","47.6000","202508","29","44,000","15","개인","개인","1990","테헤란로 406","-","중개거래","서울 강남구"
"47","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","34.3200","202508","28","27,000","19","개인","개인","2004","선릉로86길 31","-","중개거래","서울 강남구"
"48","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202508","20","23,500","12","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"49","서울특별시 강남구 대치동","889-5","0889","0005","샹제리제센터","34.9400","202508","12","30,000","13","개인","개인","1990","테헤란로 406","-","중개거래","서울 강남구"
"50","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","30.1100","202508","09","25,000","15","개인","개인","2004","테헤란로88길 10","-","중개거래","서울 강남구"
"51","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","39.0000","202508","04","30,000","7","기타","개인","2004","선릉로86길 31","-","중개거래","서울 강남구, 서울 동작구"
"52","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌","30.1000","202508","04","25,900","4","개인","개인","2004","테헤란로64길 9","-","중개거래","서울 강남구"
"53","서울특별시 강남구 대치동","938","0938","0000","삼환 아르누보2","26.4200","202507","25","43,500","5","개인","개인","2004","도곡로 405","-","중개거래","서울 송파구"
