property_id,district,dong,size_type,area_sqm,floor,market_price,jeonse_price,jeonse_ratio,school_score,subway_distance_m,contract_date,avg_price_by_size,price_diff_percent,undervalued_score
PROP_0000,강남구,반포동,20py,61.73,17,259659.0,135561.0,0.52,3,815,2025-02-24,229624.656394453,-0.1307975549191613,37.0
PROP_0001,송파구,대치동,40py,111.54,5,486884.0,257639.0,0.53,4,549,2026-02-01,481442.3174366617,-0.011302875476986331,54.7
PROP_0002,송파구,대치동,20py,62.6,27,218826.0,113652.0,0.52,5,986,2025-03-05,229624.656394453,0.04702742538198025,60.9
PROP_0003,송파구,반포동,30py,84.57,34,354061.0,198565.0,0.56,2,1398,2025-05-24,320710.1926470588,-0.10399048149256583,31.1
PROP_0004,강남구,도곡동,30py,84.37,1,296852.0,168438.0,0.57,1,1438,2025-12-07,320710.1926470588,0.07439175054007317,30.1
PROP_0005,강남구,개포동,30py,84.85,26,312975.0,160302.0,0.51,3,1076,2025-07-10,320710.1926470588,0.024118948584747283,42.5
PROP_0006,강남구,대치동,20py,62.99,33,222255.0,121001.0,0.54,4,307,2025-06-21,229624.656394453,0.03209436003158683,53.8
PROP_0007,서초구,개포동,30py,84.46,15,341060.0,189208.0,0.55,1,352,2025-12-29,320710.1926470588,-0.0634523249322984,16.1
PROP_0008,서초구,개포동,40py,110.14,15,547077.0,324980.0,0.59,1,997,2025-08-23,481442.3174366617,-0.1363292759822119,7.1
PROP_0009,송파구,개포동,20py,61.51,9,236795.0,120337.0,0.51,3,887,2025-11-03,229624.656394453,-0.03122636618442958,31.5
PROP_0010,서초구,대치동,20py,61.56,18,199331.0,110550.0,0.55,5,1211,2026-02-12,229624.656394453,0.13192684474795274,77.8
PROP_0011,송파구,잠실동,20py,62.22,23,250085.0,145530.0,0.58,4,1171,2025-05-10,229624.656394453,-0.08910342611640057,51.7
PROP_0012,서초구,대치동,40py,111.07,20,530203.0,315410.0,0.59,3,1060,2025-07-21,481442.3174366617,-0.10128042508384869,34.8
PROP_0013,서초구,대치동,30py,84.06,2,294429.0,169926.0,0.58,5,990,2025-09-15,320710.1926470588,0.08194685809684019,67.7
PROP_0014,강남구,반포동,40py,117.26,3,492131.0,282541.0,0.57,2,1127,2026-01-08,481442.3174366617,-0.02220137735346563,37.4
PROP_0015,강남구,반포동,40py,112.36,1,418510.0,249139.0,0.6,4,1318,2025-09-13,481442.3174366617,0.13071621491798138,53.7
PROP_0016,강남구,잠실동,40py,116.48,4,515592.0,308937.0,0.6,2,1326,2025-11-26,481442.3174366617,-0.07093203344724891,23.6
PROP_0017,송파구,반포동,20py,60.71,5,219477.0,124507.0,0.57,3,150,2025-05-19,229624.656394453,0.04419236398124939,44.4
PROP_0018,강남구,잠실동,30py,84.81,16,295537.0,171966.0,0.58,2,113,2025-04-17,320710.1926470588,0.0784920255863582,36.5
PROP_0019,송파구,대치동,30py,84.6,34,327679.0,180245.0,0.55,5,352,2025-07-03,320710.1926470588,-0.0217292980164505,63.4
PROP_0020,송파구,개포동,30py,84.37,1,329808.0,166120.0,0.5,3,345,2025-10-18,320710.1926470588,-0.028367690087584208,35.5
PROP_0021,송파구,반포동,40py,112.83,2,519847.0,305261.0,0.59,4,480,2025-10-22,481442.3174366617,-0.07977006003090041,49.6
PROP_0022,강남구,도곡동,20py,60.94,17,202561.0,107772.0,0.53,1,1176,2025-07-10,229624.656394453,0.11786041106997935,24.5
PROP_0023,서초구,반포동,30py,84.84,23,310530.0,156942.0,0.51,1,473,2025-06-15,320710.1926470588,0.031742653898942645,31.5
PROP_0024,서초구,도곡동,30py,84.02,4,292689.0,159364.0,0.54,2,893,2025-11-10,320710.1926470588,0.08737231709344548,38.9
PROP_0025,강남구,대치동,20py,60.68,33,206945.0,110609.0,0.53,3,247,2025-09-05,229624.656394453,0.09876838467857522,42.9
PROP_0026,서초구,개포동,30py,84.76,15,310600.0,176098.0,0.57,3,832,2026-02-03,320710.1926470588,0.03152438830712519,38.5
PROP_0027,서초구,대치동,30py,85.0,14,293840.0,167248.0,0.57,4,1138,2025-09-05,320710.1926470588,0.08378340714798992,49.2
PROP_0028,강남구,도곡동,40py,118.88,24,450160.0,239832.0,0.53,2,300,2025-03-18,481442.3174366617,0.06497625219822346,36.7
PROP_0029,송파구,잠실동,20py,60.2,29,214337.0,126919.0,0.59,1,1270,2025-09-04,229624.656394453,0.06657671974124418,27.7
PROP_0030,서초구,잠실동,40py,119.44,29,487220.0,281935.0,0.58,1,954,2025-09-16,481442.3174366617,-0.012000778398750587,15.4
PROP_0031,서초구,대치동,40py,112.61,2,542758.0,305514.0,0.56,5,930,2025-07-27,481442.3174366617,-0.12735831550870053,59.9
PROP_0032,서초구,개포동,40py,112.11,35,458925.0,253975.0,0.55,1,1149,2025-09-16,481442.3174366617,0.04677054056351009,22.9
PROP_0033,송파구,반포동,40py,116.42,21,530359.0,304502.0,0.57,3,1262,2025-05-07,481442.3174366617,-0.10160445144038209,37.9
PROP_0034,송파구,개포동,30py,84.52,20,289894.0,164903.0,0.57,1,1191,2025-12-01,320710.1926470588,0.09608735036672811,21.9
PROP_0035,강남구,반포동,30py,84.58,25,318578.0,163954.0,0.51,4,579,2025-07-29,320710.1926470588,0.006648346999701638,49.1
PROP_0036,강남구,잠실동,20py,59.88,14,208803.0,108522.0,0.52,2,741,2025-07-01,229624.656394453,0.0906769191139701,40.0
PROP_0037,강남구,개포동,40py,117.79,26,545380.0,317048.0,0.58,4,1155,2025-05-07,481442.3174366617,-0.13280445080889658,55.9
PROP_0038,송파구,도곡동,20py,62.61,7,251946.0,132597.0,0.53,3,594,2026-01-29,229624.656394453,-0.0972079564800874,44.6
PROP_0039,송파구,잠실동,20py,64.3,9,229607.0,135553.0,0.59,1,531,2025-05-28,229624.656394453,7.689241534524593e-05,11.4
PROP_0040,강남구,도곡동,30py,84.59,20,343140.0,179234.0,0.52,4,562,2025-07-08,320710.1926470588,-0.0699379310891599,35.6
PROP_0041,강남구,반포동,30py,84.0,15,331619.0,192132.0,0.58,2,225,2025-12-19,320710.1926470588,-0.03401453275589006,35.0
PROP_0042,강남구,개포동,30py,84.23,27,355866.0,192742.0,0.54,2,663,2025-09-08,320710.1926470588,-0.10961861568157304,27.8
PROP_0043,서초구,대치동,40py,117.93,7,431726.0,257185.0,0.6,5,272,2025-11-19,481442.3174366617,0.1032653666619207,74.1
PROP_0044,서초구,도곡동,20py,63.8,17,237352.0,133100.0,0.56,4,837,2025-11-30,229624.656394453,-0.03365206388060022,56.7
PROP_0045,서초구,반포동,40py,115.49,34,434864.0,228065.0,0.52,2,765,2025-12-24,481442.3174366617,0.09674745187472954,31.5
PROP_0046,송파구,반포동,20py,60.92,33,251621.0,149470.0,0.59,2,1470,2025-05-22,229624.656394453,-0.09579260324623559,32.5
PROP_0047,서초구,개포동,40py,115.55,23,514956.0,301241.0,0.58,2,1465,2025-10-07,481442.3174366617,-0.06961100291676657,20.7
PROP_0048,송파구,잠실동,30py,84.68,28,330090.0,179841.0,0.54,4,1258,2025-07-28,320710.1926470588,-0.029246988614620238,46.4
PROP_0049,강남구,잠실동,20py,59.77,34,197661.0,105507.0,0.53,3,120,2025-09-23,229624.656394453,0.13919958290343742,48.8
PROP_0050,강남구,반포동,30py,84.66,12,309067.0,182030.0,0.59,1,1213,2025-12-04,320710.1926470588,0.036304404767927435,17.3
PROP_0051,서초구,개포동,40py,115.33,27,518565.0,267241.0,0.52,2,1116,2025-04-22,481442.3174366617,-0.07710722804964512,31.8
PROP_0052,서초구,대치동,40py,116.8,35,412128.0,223824.0,0.54,5,141,2025-08-15,481442.3174366617,0.1439722162474441,74.3
PROP_0053,강남구,개포동,30py,84.99,31,343019.0,173060.0,0.5,3,632,2025-08-15,320710.1926470588,-0.06956064342330401,37.1
PROP_0054,강남구,도곡동,20py,64.07,7,221770.0,118573.0,0.53,2,1308,2026-02-03,229624.656394453,0.03420650254979646,21.5
PROP_0055,송파구,도곡동,20py,64.94,25,206668.0,121487.0,0.59,1,882,2025-11-29,229624.656394453,0.09997470112711969,33.8
PROP_0056,서초구,대치동,30py,84.2,33,331724.0,195804.0,0.59,4,1093,2026-01-05,320710.1926470588,-0.034341931143616236,49.1
PROP_0057,송파구,반포동,40py,114.39,6,511151.0,299611.0,0.59,4,849,2025-11-25,481442.3174366617,-0.06170766774619219,49.3
PROP_0058,송파구,개포동,30py,84.7,3,306845.0,167187.0,0.54,2,905,2025-07-11,320710.1926470588,0.043232778268190046,24.7
PROP_0059,강남구,대치동,40py,110.1,34,421347.0,244975.0,0.58,3,935,2025-11-07,481442.3174366617,0.12482350483153737,51.2
PROP_0060,송파구,개포동,30py,84.05,24,290827.0,155268.0,0.53,1,442,2026-01-18,320710.1926470588,0.09317818183578976,23.0
PROP_0061,강남구,대치동,20py,63.99,30,243068.0,134712.0,0.55,5,240,2025-06-04,229624.656394453,-0.05854486106428315,52.5
PROP_0062,송파구,개포동,40py,116.17,17,440775.0,249438.0,0.57,2,1193,2025-03-04,481442.3174366617,0.0844697608909542,37.1
PROP_0063,강남구,도곡동,30py,84.2,16,352774.0,196725.0,0.56,1,736,2025-07-14,320710.1926470588,-0.09997751268300778,25.9
PROP_0064,강남구,반포동,20py,64.09,3,224547.0,117135.0,0.52,3,842,2025-06-28,229624.656394453,0.022112853533161135,42.0
PROP_0065,송파구,반포동,20py,62.03,19,207316.0,115923.0,0.56,4,1246,2025-04-29,229624.656394453,0.09715270452547055,54.8
PROP_0066,서초구,개포동,40py,115.24,13,499222.0,252620.0,0.51,2,797,2025-07-13,481442.3174366617,-0.036930036931532094,20.2
PROP_0067,강남구,대치동,30py,84.48,31,321460.0,192707.0,0.6,4,496,2026-02-15,320710.1926470588,-0.002337959223411257,51.2
PROP_0068,강남구,도곡동,30py,84.88,5,332581.0,171698.0,0.52,4,417,2025-11-24,320710.1926470588,-0.037014125603438496,42.3
PROP_0069,서초구,대치동,30py,84.02,26,364756.0,209210.0,0.57,3,482,2025-06-26,320710.1926470588,-0.13733834584238971,38.8
PROP_0070,송파구,도곡동,40py,115.78,29,501647.0,281668.0,0.56,4,165,2025-08-19,481442.3174366617,-0.04196698510200327,48.3
PROP_0071,송파구,잠실동,30py,84.56,11,306436.0,175166.0,0.57,2,249,2025-04-27,320710.1926470588,0.0445080729403806,35.4
PROP_0072,강남구,반포동,40py,111.29,7,532335.0,309309.0,0.58,3,612,2025-04-01,481442.3174366617,-0.10570878528980521,30.9
PROP_0073,송파구,대치동,20py,62.97,4,208040.0,123144.0,0.59,3,798,2025-12-30,229624.656394453,0.09399973301375143,42.5
PROP_0074,서초구,반포동,20py,63.75,27,225217.0,123296.0,0.55,1,264,2025-05-04,229624.656394453,0.019195048404912787,24.9
PROP_0075,서초구,개포동,20py,60.69,27,255836.0,137870.0,0.54,3,681,2025-05-10,229624.656394453,-0.11414864595603677,34.6
PROP_0076,강남구,대치동,20py,63.96,29,255390.0,131451.0,0.51,5,789,2025-07-11,229624.656394453,-0.11220634582588936,54.0
PROP_0077,서초구,도곡동,40py,110.83,25,534524.0,281572.0,0.53,1,842,2025-09-26,481442.3174366617,-0.11025553974141816,13.8
PROP_0078,강남구,도곡동,20py,60.65,35,255375.0,150050.0,0.59,4,237,2025-03-18,229624.656394453,-0.11214102183048082,44.0
