property_id,district,dong,size_type,area_sqm,floor,market_price,jeonse_price,jeonse_ratio,school_score,subway_distance_m,contract_date,avg_price_by_size,price_diff_percent,undervalued_score
PROP_0000,송파구,잠실동,40py,119.93,32,532075.0,317134.0,0.6,4,883,2025-07-23,480071.36778115504,-0.1083247944137991,42.1
PROP_0001,강남구,도곡동,20py,63.63,14,210330.0,111914.0,0.53,2,659,2025-10-17,228861.1826625387,0.08097127895150032,38.9
PROP_0002,송파구,도곡동,20py,61.97,25,241544.0,138586.0,0.57,1,253,2026-01-28,228861.1826625387,-0.05541707505795087,15.8
PROP_0003,송파구,반포동,20py,63.59,17,235078.0,136620.0,0.58,3,724,2025-11-15,228861.1826625387,-0.027164140572620205,51.3
PROP_0004,강남구,잠실동,40py,115.84,33,466595.0,268159.0,0.57,1,885,2026-01-27,480071.36778115504,0.028071592445601486,15.7
PROP_0005,송파구,잠실동,20py,59.01,34,242177.0,133076.0,0.55,1,1395,2025-12-17,228861.1826625387,-0.05818294383760047,14.5
PROP_0006,강남구,개포동,20py,60.59,22,239241.0,122170.0,0.51,2,648,2025-05-22,228861.1826625387,-0.04535420649628732,24.1
PROP_0007,강남구,대치동,30py,84.05,35,356102.0,201061.0,0.56,5,166,2026-01-07,320544.3649425287,-0.11092890390959302,51.6
PROP_0008,송파구,잠실동,40py,116.78,35,443608.0,258667.0,0.58,1,1204,2025-12-02,480071.36778115504,0.07595405647640541,17.9
PROP_0009,강남구,도곡동,30py,84.16,27,349819.0,176105.0,0.5,4,1097,2025-05-06,320544.3649425287,-0.09132787301601766,35.3
PROP_0010,서초구,반포동,30py,84.64,10,349319.0,205841.0,0.59,3,1208,2025-08-01,320544.3649425287,-0.08976802653395691,30.0
PROP_0011,송파구,도곡동,40py,110.93,2,539448.0,296694.0,0.55,1,206,2025-10-13,480071.36778115504,-0.12368292758903368,12.2
PROP_0012,송파구,개포동,30py,84.87,6,315858.0,181646.0,0.58,1,1099,2026-01-11,320544.3649425287,0.014620019738512471,18.2
PROP_0013,강남구,개포동,30py,84.17,6,336732.0,198745.0,0.59,3,933,2025-06-14,320544.3649425287,-0.05050045119455964,35.1
PROP_0014,강남구,도곡동,40py,110.29,14,448874.0,239663.0,0.53,2,998,2026-01-02,480071.36778115504,0.06498485407564787,25.2
PROP_0015,강남구,개포동,30py,84.99,9,288202.0,151260.0,0.52,4,1320,2025-10-22,320544.3649425287,0.10089824835425656,55.7
PROP_0016,서초구,잠실동,30py,84.47,19,351324.0,203486.0,0.58,2,998,2025-10-14,320544.3649425287,-0.09602301092702051,29.4
PROP_0017,강남구,도곡동,30py,84.56,8,282460.0,159813.0,0.57,3,1304,2025-05-11,320544.3649425287,0.1188115253542422,46.5
PROP_0018,서초구,대치동,40py,114.89,18,443561.0,223215.0,0.5,3,1386,2025-06-15,480071.36778115504,0.07605195858670462,53.8
PROP_0019,강남구,대치동,30py,84.87,29,317511.0,168646.0,0.53,4,1359,2025-12-16,320544.3649425287,0.009463167268819638,50.0
PROP_0020,송파구,대치동,30py,84.27,26,324867.0,191351.0,0.59,3,686,2025-04-10,320544.3649425287,-0.013485294175258088,46.4
PROP_0021,송파구,잠실동,40py,118.22,14,474789.0,237470.0,0.5,1,136,2025-07-25,480071.36778115504,0.011003296875565926,15.1
PROP_0022,송파구,반포동,20py,62.86,6,229695.0,134193.0,0.58,1,1263,2026-01-29,228861.1826625387,-0.003643332293230322,30.5
PROP_0023,서초구,반포동,20py,59.95,5,244792.0,131033.0,0.54,4,1201,2025-09-18,228861.1826625387,-0.06960908421482591,44.7
PROP_0024,서초구,대치동,30py,84.51,19,343084.0,193749.0,0.56,4,1393,2025-10-19,320544.3649425287,-0.07031674090265938,44.5
PROP_0025,서초구,개포동,40py,119.6,26,451059.0,257472.0,0.57,1,1492,2025-10-24,480071.36778115504,0.06043344745854662,26.5
PROP_0026,송파구,개포동,40py,115.21,25,411240.0,235060.0,0.57,4,1333,2025-06-13,480071.36778115504,0.14337736511820562,59.5
PROP_0027,송파구,대치동,20py,64.62,34,256074.0,131294.0,0.51,3,635,2025-10-05,228861.1826625387,-0.11890534262241956,28.6
PROP_0028,서초구,잠실동,20py,61.55,20,248947.0,137344.0,0.55,3,966,2025-05-19,228861.1826625387,-0.08776419445091452,31.0
PROP_0029,송파구,개포동,40py,112.84,27,536272.0,272991.0,0.51,1,258,2025-05-22,480071.36778115504,-0.11706724456115561,15.3
PROP_0030,송파구,반포동,30py,84.42,3,317455.0,181462.0,0.57,3,1339,2025-08-12,320544.3649425287,0.009637870074810442,34.3
PROP_0031,강남구,반포동,30py,84.62,8,331124.0,195718.0,0.59,1,973,2025-10-24,320544.3649425287,-0.03300521305176629,20.1
PROP_0032,강남구,대치동,30py,84.82,29,282601.0,167846.0,0.59,3,1194,2025-08-08,320544.3649425287,0.11837164864630106,55.1
PROP_0033,서초구,대치동,40py,119.34,30,489681.0,281012.0,0.57,3,237,2025-09-24,480071.36778115504,-0.020017090923917784,44.3
PROP_0034,강남구,반포동,20py,60.76,20,254494.0,131236.0,0.52,4,747,2026-01-11,228861.1826625387,-0.11200159432566385,43.1
PROP_0035,서초구,잠실동,40py,114.46,13,523610.0,282146.0,0.54,3,884,2025-04-10,480071.36778115504,-0.09069199944182559,48.1
PROP_0036,서초구,도곡동,40py,117.95,6,494890.0,285568.0,0.58,4,941,2025-07-18,480071.36778115504,-0.030867560978142247,55.8
PROP_0037,강남구,도곡동,30py,84.4,9,312889.0,171064.0,0.55,4,654,2025-05-02,320544.3649425287,0.023882388148989193,60.5
PROP_0038,강남구,잠실동,30py,84.22,17,347775.0,204361.0,0.59,3,394,2025-11-14,320544.3649425287,-0.08495122059735333,33.2
PROP_0039,서초구,도곡동,30py,84.63,34,282498.0,163288.0,0.58,1,590,2025-12-27,320544.3649425287,0.11869297702160558,23.0
PROP_0040,강남구,대치동,40py,118.35,24,483471.0,280689.0,0.58,4,162,2025-03-28,480071.36778115504,-0.007081514222682636,47.0
PROP_0041,서초구,잠실동,20py,60.73,11,248168.0,133073.0,0.54,4,1146,2025-05-11,228861.1826625387,-0.0843603843729571,47.9
PROP_0042,강남구,개포동,30py,84.69,17,295678.0,162614.0,0.55,3,810,2025-08-06,320544.3649425287,0.07757542375448426,40.3
PROP_0043,서초구,대치동,40py,119.03,13,515256.0,283851.0,0.55,4,800,2026-02-12,480071.36778115504,-0.07329042009204806,49.3
PROP_0044,송파구,도곡동,40py,113.45,9,515211.0,257649.0,0.5,3,1078,2025-05-21,480071.36778115504,-0.07319668402899562,43.4
PROP_0045,강남구,개포동,30py,84.8,32,325796.0,176899.0,0.54,2,307,2025-02-19,320544.3649425287,-0.01638348893892696,28.0
PROP_0046,강남구,잠실동,20py,59.36,34,201129.0,108554.0,0.54,1,1476,2025-07-07,228861.1826625387,0.12117468912773408,35.8
PROP_0047,강남구,도곡동,20py,59.54,29,204014.0,120161.0,0.59,4,1025,2025-06-02,228861.1826625387,0.10856879429473393,59.5
PROP_0048,강남구,도곡동,30py,84.42,13,304325.0,176581.0,0.58,3,1052,2025-12-11,320544.3649425287,0.050599438693725685,35.2
PROP_0049,서초구,잠실동,30py,84.7,30,314067.0,183629.0,0.58,1,1340,2025-05-26,320544.3649425287,0.02020738983725407,20.3
PROP_0050,강남구,도곡동,40py,113.29,18,529122.0,293790.0,0.56,2,339,2025-03-16,480071.36778115504,-0.1021736256539364,29.0
PROP_0051,송파구,개포동,20py,63.38,4,224569.0,128112.0,0.57,3,608,2025-04-23,228861.1826625387,0.018754524522699927,40.1
PROP_0052,강남구,도곡동,20py,59.48,1,258648.0,153508.0,0.59,3,285,2026-02-13,228861.1826625387,-0.13015233510080515,37.2
