"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.7960","202602","02","34,000","-","6","개인","개인","2003","삼성로85길 42","-","중개거래","서울 강남구","-"
"2","서울특별시 강남구 대치동","985","0985","0000","래미안대치하이스턴","110.3900","202601","23","362,000","-","8","개인","법인","1989","도곡로93길 12","-","중개거래","서울 강남구, 서울 송파구","-"
"3","서울특별시 강남구 대치동","974","0974","0000","대치현대","85.0000","202601","21","360,000","-","22","개인","개인","1999","삼성로64길 5","-","중개거래","서울 강남구","-"
"4","서울특별시 강남구 대치동","974","0974","0000","대치현대","59.8200","202601","17","278,000","-","15","개인","개인","1999","삼성로64길 5","-","중개거래","서울 강남구","-"
"5","서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","161.4700","202601","15","650,000","-","13","개인","법인","2005","선릉로 206","-","중개거래","서울 강남구","-"
"6","서울특별시 강남구 대치동","992","0992","0000","현대1","84.2700","202601","15","250,000","-","11","개인","개인","1990","영동대로57길 28","-","중개거래","서울 강남구","-"
"7","서울특별시 강남구 대치동","506","0506","0000","선경1차(1동-7동)","136.6800","202601","13","530,000","-","2","개인","개인","1983","삼성로 151","-","중개거래","서울 강남구","-"
"8","서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","33.0600","202601","10","27,800","-","10","개인","개인","2004","선릉로90길 56","-","중개거래","서울 강남구","-"
"9","서울특별시 강남구 대치동","902","0902","0000","포스코더샵","139.5400","202601","10","400,000","-","17","개인","개인","2004","삼성로 417","-","중개거래","서울 강남구","-"
"10","서울특별시 강남구 대치동","316","0316","0000","은마","84.4300","202601","07","420,000","-","4","개인","개인","1980","삼성로 212","-","중개거래","서울 강남구","-"
