"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-06 ~ 2026-02-05"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 대치동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","월세","29.9700","202602","04","15,000","50","12","2004","테헤란로64길 14","202602~202802","신규","-","",""
"2","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202602","02","30,000","0","11","2019","영동대로85길 20","202602~202803","신규","-","",""
"3","서울특별시 강남구 대치동","891-23","0891","0023","대치동 대우아이빌 명문가","월세","33.0600","202601","28","1,000","83","6","2004","선릉로90길 56","202601~202604","신규","-","",""
"4","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.2300","202601","26","30,000","0","13","2019","영동대로85길 20","202603~202803","신규","-","",""
"5","서울특별시 강남구 대치동","622-1","0622","0001","대치 클래시아","월세","30.2200","202601","24","3,000","200","12","2015","남부순환로 2927","202601~202701","신규","-","",""
"6","서울특별시 강남구 대치동","890-59","0890","0059","선릉역 롯데골드로즈2","월세","34.3200","202601","23","10,000","80","8","2004","선릉로86길 31","202601~202801","신규","-","",""
"7","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","전세","27.4500","202601","22","18,000","0","6","2004","테헤란로88길 10","202603~202803","신규","-","",""
"8","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","전세","32.0000","202601","21","20,000","0","7","2003","테헤란로64길 8","202603~202803","갱신","-","20,000","0"
"9","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","전세","32.0000","202601","21","21,000","0","7","2003","테헤란로64길 8","202603~202803","갱신","-","20,000","0"
"10","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","21.4600","202601","19","24,500","0","10","2019","영동대로85길 20","202602~202802","갱신","-","24,500","0"
"11","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","18.4500","202601","19","1,000","95","5","2020","선릉로90길 68","202601~202701","신규","-","",""
"12","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","전세","22.3900","202601","16","28,000","0","5","2019","영동대로85길 20","202601~202801","신규","-","",""
"13","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202601","16","28,300","10","11","2019","영동대로85길 20","202602~202802","신규","-","",""
"14","서울특별시 강남구 대치동","889-53","0889","0053","선릉역 롯데골드로즈오피스텔","월세","32.0000","202601","12","20,000","5","9","2003","테헤란로64길 8","202601~202801","신규","-","",""
"15","서울특별시 강남구 대치동","891-38","0891","0038","대치트레비스타 101동","월세","18.4500","202601","12","20,000","14","5","2020","선릉로90길 68","202602~202802","갱신","사용","20,000","10"
"16","서울특별시 강남구 대치동","945-20","0945","0020","대치3차 아이파크 오피스텔","월세","22.3900","202601","10","2,000","115","6","2019","영동대로85길 20","202601~202701","신규","-","",""
"17","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","월세","21.5000","202601","10","8,000","86","8","2018","영동대로85길 34","202601~202701","신규","-","",""
"18","서울특별시 강남구 대치동","943-24","0943","0024","신안메트로칸","월세","30.1100","202601","09","1,000","89","15","2004","테헤란로88길 10","202601~202701","신규","-","",""
"19","서울특별시 강남구 대치동","891-63","0891","0063","대치트레비스타 102동","월세","18.4500","202601","07","13,000","38","3","2020","선릉로90길 66","202603~202803","갱신","-","13,000","34"
